Stock,AsOf,TargetPosition,Recommendation,TradeNow,LastSignal,Score,AvgVolume,DollarVolume
GSKR-SDB.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,30.45,15124.488986784141,393236.71365638764
BOL.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,30.341,1182243.1932457786,777206704.103134
EQT.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,29.555,1133469.6829268292,346728369.0891671
HUMBLE.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,29.182,666443.4108818012,4898359.006424242
NICA.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,28.857,122080.51594746717,49930.93215765833
FLMNG.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,28.717,10967.988742964353,64711.1346294786
LINC.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,28.68,56113.35084427767,3669813.2308379384
RAY-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,28.597,102509.04127579737,19066681.67729831
INWI.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,27.899,109925.75234521576,17928890.878438238
BERNER-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,27.692,28739.939962476546,3261983.185741088
ZENA-SDR.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,27.566,430060.3522727273,179335.16505210847
NP3.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,26.888,56538.754221388364,14332574.19512195
VISC.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,26.581,248947.38649155723,4525863.562389224
OSSD.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,25.621,408113.54033771105,2407869.9269132353
AFRY.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,25.587,209963.67917448404,27736203.300465938
SVEAF.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,25.29,475344.6163141994,17350078.495468277
TRIAN-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,25.289,88626.92307692308,1698091.8326304508
JOMA.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,24.835,35003.61726078799,2184225.770484452
HEXA-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,24.812,3492268.938086304,342172522.277011
HAMLET-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,23.89,168076.1200750469,853826.6771580479
SIMRIS-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,23.69,350248.08255159477,31102.029087588107
DIST.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,23.577,176743.77861163227,34730.15308713175
KNOW.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,23.3,46534.230769230766,5425891.236686707
SHOT.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,23.21,502172.4971857411,42333143.045266815
MCAP.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,23.066,24697.581613508442,11731351.26641651
SECU-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,22.471,1065523.3283302065,164996293.89537075
TERNOR.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,22.416,44560.96296296296,1234338.7080713909
ESSITY-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,21.617,1375256.4840525328,388234888.6602311
VITR.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,21.437,144522.34146341463,12761323.192266697
EQL.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,21.357,26641.012285012286,1611781.2432432433
SDIP-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,21.323,81105.29268292683,15077473.414728675
GETI-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,20.68,809297.3996247655,162749712.00409967
ANOD-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,19.821,135378.91932457787,9476524.35272045
HEM.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,19.618,233482.67729831144,28228056.041632146
XVIVO.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,19.337,101979.5947467167,18407316.851782363
IPCO.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,18.96,166669.35084427768,32433856.691565424
ACAD.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,18.782,197458.75609756098,17988492.379189655
ADDT-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,18.736,386815.38836772984,123935648.07208687
NOBA.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,18.516,644167.8571428572,64996537.768636435
BMAX.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,18.144,166906.96247654784,10381613.193381183
ALZ.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,17.508,461283.5028142589,325204.8617855535
BOKUS.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,17.435,7514.979362101313,562120.4792190752
LUMI.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,17.01,578623.7842401501,133083470.37523453
CAT-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,16.952,79547.35084427768,1678449.1331591653
FRACTL.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,16.778,65666.0694183865,912758.3398659548
TELIA.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,16.708,8723151.33020638,387046215.2039262
FIRE.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,16.662,2981.183864915572,560462.5666041275
BIM.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,16.516,265796.53846153844,1209374.3006966664
SWEC-A.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,15.997,1205.388367729831,171165.14821763602
ACAST.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,15.309,192822.84427767355,4695236.331717429
TOBII.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,15.216,2148020.818011257,3256399.6297544832
SDET.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,15.076,891404.5440900563,63646.28591446912
ADTR.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,14.769,15009.994371482177,409772.8348897465
MAVEN.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,14.509,35434.34146341463,143863.42431389412
SWEC-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,14.434,257594.22514071295,36655659.02363864
LYKO-A.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,13.993,12362.489681050656,959329.1803858686
BOOZT.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,13.972,137526.48030018763,12129835.142779037
TSEC.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,13.815,6290.196998123827,66676.09057963229
DIOS.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,13.191,219793.51594746715,15352576.753552292
NDA-SE.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,12.898,3568696.04315197,635227895.6810507
EAST.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,12.057,65469.20637898687,3165436.028525934
BINV.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,11.927,97635.98686679175,2514126.6618198873
CLEMO.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,10.355,370513.32270168856,42164.41489114738
NEOBO.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,10.212,523427.06191369606,10677911.863367822
NYF.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,10.206,314944.06378986867,21384702.411898587
AXFO.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,9.454,277605.52720450284,91776388.98817831
DEDI.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,8.916,23491.89305816135,939675.722326454
SAFETY-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,8.559,60219.99249530957,1151406.307048948
CORE-D.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,8.422,6994.789868667917,1542351.1660412757
PACT.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,8.258,56515.84240150094,5742009.501756163
ACUVI.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,7.554,51839.906191369606,625189.2904208078
QSYS.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,6.626,16641.32793522267,840387.0607287448
NEWA-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,5.96,263255.7617260788,26746784.989673194
HACK.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,5.85,651184.5636363636,37898942.100450754
CRED-A.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,5.582,111008.69793621013,7459784.16254166
BUFAB.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,5.48,198068.8818011257,22556083.715499762
RUG.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,5.426,32220.791744840524,2139460.6210224372
COFFEE-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,5.329,3066398.522727273,52919903.9272252
PNDX-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,5.231,154074.2401500938,29397365.490835164
MER.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,5.183,896690.3144329897,13373238.952663766
TEL2-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,5.092,1981706.765478424,372957207.2153503
APRTEC.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,4.537,36487.192307692305,432373.24276491307
SKA-B.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,4.28,697501.9493433395,188674277.29737335
LAGR-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,4.192,222877.1651031895,47339108.50758319
FABG.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,4.127,663347.818011257,53830676.44380195
HEGR.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,4.119,14203.431519699812,9019.178879554902
CS.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,3.743,92487.93996247655,7047580.742889919
AAK.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,3.264,373196.34333958727,90537435.17199358
HM-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,-1,3.243,2708724.1894934336,498405250.8667918
ABB.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,3.04,584582.8893058161,481228641.61256945
GRNG.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,2.89,171853.79549718575,26173333.578677554
ORES.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,2.873,41928.641651031896,5509423.257033472
SEB-A.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,2.614,2973195.812382739,580962443.5926402
EPRO-B.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,2.373,241476.9287054409,14029809.189321565
SNX.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,1.776,28061.855534709193,1212272.180508934
WPAY.ST,2026-02-18 00:00:00+01:00,1,Buy,False,0,1.104,63080.61726078799,86420.44594807137
SFAST.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,0.825,276879.31707317074,3195187.3084622826
NETI-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,0.656,821440.6735459663,1729132.6334819964
LIFCO-B.ST,2026-02-18 00:00:00+01:00,0,Hold,True,1,0.077,297350.9155722326,94498117.33908361
HANZA.ST,2026-02-18 00:00:00+01:00,-1,Sell,False,0,-0.063,105356.67729831145,14075652.730100535
